"filename", "language", "Rust", "comment", "blank", "total"
"/Users/huangyuhuai/Desktop/code/rust/chat/src/auth/middleware.rs", "Rust", 59, 0, 3, 62
"/Users/huangyuhuai/Desktop/code/rust/chat/src/auth/mod.rs", "Rust", 3, 0, 1, 4
"/Users/huangyuhuai/Desktop/code/rust/chat/src/auth/password.rs", "Rust", 21, 0, 2, 23
"/Users/huangyuhuai/Desktop/code/rust/chat/src/auth/token.rs", "Rust", 28, 0, 5, 33
"/Users/huangyuhuai/Desktop/code/rust/chat/src/db/friend.rs", "Rust", 93, 0, 9, 102
"/Users/huangyuhuai/Desktop/code/rust/chat/src/db/message.rs", "Rust", 40, 0, 4, 44
"/Users/huangyuhuai/Desktop/code/rust/chat/src/db/mod.rs", "Rust", 15, 0, 4, 19
"/Users/huangyuhuai/Desktop/code/rust/chat/src/db/private.rs", "Rust", 101, 0, 9, 110
"/Users/huangyuhuai/Desktop/code/rust/chat/src/db/user.rs", "Rust", 31, 0, 5, 36
"/Users/huangyuhuai/Desktop/code/rust/chat/src/handlers/auth.rs", "Rust", 111, 0, 15, 126
"/Users/huangyuhuai/Desktop/code/rust/chat/src/handlers/chat.rs", "Rust", 69, 0, 8, 77
"/Users/huangyuhuai/Desktop/code/rust/chat/src/handlers/friends.rs", "Rust", 133, 5, 6, 144
"/Users/huangyuhuai/Desktop/code/rust/chat/src/handlers/mod.rs", "Rust", 40, 0, 6, 46
"/Users/huangyuhuai/Desktop/code/rust/chat/src/handlers/ws.rs", "Rust", 15, 0, 1, 16
"/Users/huangyuhuai/Desktop/code/rust/chat/src/main.rs", "Rust", 37, 0, 10, 47
"/Users/huangyuhuai/Desktop/code/rust/chat/src/models/api.rs", "Rust", 19, 0, 4, 23
"/Users/huangyuhuai/Desktop/code/rust/chat/src/models/conversation.rs", "Rust", 18, 0, 3, 21
"/Users/huangyuhuai/Desktop/code/rust/chat/src/models/mod.rs", "Rust", 6, 0, 1, 7
"/Users/huangyuhuai/Desktop/code/rust/chat/src/models/ws.rs", "Rust", 15, 0, 2, 17
"/Users/huangyuhuai/Desktop/code/rust/chat/src/state.rs", "Rust", 29, 0, 5, 34
"/Users/huangyuhuai/Desktop/code/rust/chat/src/ws/message.rs", "Rust", 120, 0, 10, 130
"/Users/huangyuhuai/Desktop/code/rust/chat/src/ws/mod.rs", "Rust", 104, 1, 11, 116
"Total", "-", 1107, 6, 124, 1237
